Tray location,Substrate,Germ Date (NA=did not germinate)
10a1,Soil,NA
10a10,Soil,1/29/2016
10a11,Soil,12/5/2015
10a2,Soil,11/29/2015
10a3,Soil,NA
10a4,Soil,11/27/2015
10a5,Soil,12/17/2015
10a6,Soil,12/7/2015
10a7,Soil,12/5/2015
10a8,Soil,11/29/2015
10a9,Soil,NA
10b1,Soil,12/7/2015
10b10,Soil,12/5/2015
10b11,Soil,12/3/2015
10b2,Soil,11/29/2015
10b3,Soil,NA
10b4,Soil,12/5/2015
10b5,Soil,12/26/2015
10b6,Soil,12/7/2015
10b7,Soil,12/5/2015
10b8,Soil,12/1/2015
10b9,Soil,NA
10c1,Soil,12/5/2015
10c10,Soil,NA
10c11,Soil,12/5/2015
10c2,Soil,12/3/2015
10c3,Soil,NA
10c4,Soil,11/29/2015
10c5,Soil,12/17/2015
10c6,Soil,12/5/2015
10c7,Soil,12/5/2015
10c8,Soil,12/7/2015
10c9,Soil,12/1/2015
10d1,Soil,NA
10d10,Soil,12/5/2015
10d11,Soil,12/3/2015
10d2,Soil,12/1/2015
10d3,Soil,NA
10d4,Soil,11/27/2015
10d5,Soil,12/17/2015
10d6,Soil,12/7/2015
10d7,Soil,12/3/2015
10d8,Soil,12/5/2015
10d9,Soil,12/1/2015
10e1,Soil,NA
10e10,Soil,NA
10e2,Soil,12/9/2015
10e3,Soil,NA
10e4,Soil,12/7/2015
10e5,Soil,12/17/2015
10e6,Soil,12/7/2015
10e7,Soil,12/3/2015
10e8,Soil,NA
10e9,Soil,12/1/2015
10f1,Soil,NA
10f10,Soil,12/5/2015
10f2,Soil,11/27/2015
10f3,Soil,12/7/2015
10f4,Soil,11/29/2015
10f5,Soil,12/7/2015
10f6,Soil,12/11/2015
10f7,Soil,NA
10f8,Soil,12/1/2015
10f9,Soil,12/1/2015
11a1,Soil,NA
11a10,Soil,12/13/2015
11a11,Soil,NA
11a2,Soil,1/29/2016
11a3,Soil,NA
11a4,Soil,11/29/2015
11a5,Soil,12/26/2015
11a6,Soil,1/29/2016
11a7,Soil,1/29/2016
11a8,Soil,12/1/2015
11a9,Soil,12/1/2015
11b1,Soil,NA
11b10,Soil,11/29/2015
11b11,Soil,11/29/2015
11b2,Soil,11/29/2015
11b3,Soil,11/29/2015
11b4,Soil,11/29/2015
11b5,Soil,NA
11b6,Soil,12/5/2015
11b7,Soil,NA
11b8,Soil,11/29/2015
11b9,Soil,11/29/2015
11c1,Soil,NA
11c10,Soil,NA
11c11,Soil,11/29/2015
11c2,Soil,12/1/2015
11c3,Soil,12/13/2015
11c4,Soil,11/27/2015
11c5,Soil,12/23/2015
11c6,Soil,12/3/2015
11c7,Soil,12/5/2015
11c8,Soil,12/3/2015
11c9,Soil,11/29/2015
11d1,Soil,NA
11d10,Soil,11/29/2015
11d11,Soil,11/29/2015
11d2,Soil,11/29/2015
11d3,Soil,11/29/2015
11d4,Soil,11/29/2015
11d5,Soil,NA
11d6,Soil,12/3/2015
11d7,Soil,12/5/2015
11d8,Soil,12/3/2015
11d9,Soil,11/29/2015
11e1,Soil,NA
11e10,Soil,11/29/2015
11e2,Soil,11/27/2015
11e3,Soil,12/1/2015
11e4,Soil,NA
11e5,Soil,NA
11e6,Soil,12/23/2015
11e7,Soil,NA
11e8,Soil,11/29/2015
11e9,Soil,11/29/2015
11f1,Soil,NA
11f10,Soil,11/29/2015
11f2,Soil,11/27/2015
11f3,Soil,11/29/2015
11f4,Soil,11/27/2015
11f5,Soil,NA
11f6,Soil,12/3/2015
11f7,Soil,12/3/2015
11f8,Soil,NA
11f9,Soil,12/1/2015
12a1,Soil,NA
12a10,Soil,11/29/2015
12a11,Soil,12/3/2015
12a2,Soil,NA
12a3,Soil,12/1/2015
12a4,Soil,NA
12a5,Soil,12/13/2015
12a6,Soil,1/1/2016
12a7,Soil,12/5/2015
12a8,Soil,12/3/2015
12a9,Soil,12/3/2015
12b1,Soil,NA
12b10,Soil,12/1/2015
12b11,Soil,12/1/2015
12b2,Soil,NA
12b3,Soil,12/3/2015
12b4,Soil,12/1/2015
12b5,Soil,12/13/2015
12b6,Soil,12/7/2015
12b7,Soil,12/5/2015
12b8,Soil,12/3/2015
12b9,Soil,NA
12c1,Soil,12/5/2015
12c10,Soil,11/29/2015
12c11,Soil,11/29/2015
12c2,Soil,12/3/2015
12c3,Soil,NA
12c4,Soil,12/3/2015
12c5,Soil,12/13/2015
12c6,Soil,12/9/2015
12c7,Soil,12/17/2015
12c8,Soil,NA
12c9,Soil,12/1/2015
12d1,Soil,12/5/2015
12d10,Soil,11/29/2015
12d11,Soil,NA
12d2,Soil,11/29/2015
12d3,Soil,12/11/2015
12d4,Soil,11/29/2015
12d5,Soil,NA
12d6,Soil,12/7/2015
12d7,Soil,12/3/2015
12d8,Soil,NA
12d9,Soil,12/1/2015
12e1,Soil,12/7/2015
12e10,Soil,12/3/2015
12e2,Soil,12/5/2015
12e3,Soil,12/5/2015
12e4,Soil,11/29/2015
12e5,Soil,12/17/2015
12e6,Soil,NA
12e7,Soil,12/1/2015
12e8,Soil,12/3/2015
12e9,Soil,NA
12f1,Soil,NA
12f10,Soil,12/3/2015
12f2,Soil,12/5/2015
12f3,Soil,12/7/2015
12f4,Soil,12/3/2015
12f5,Soil,12/9/2015
12f6,Soil,1/1/2016
12f7,Soil,12/7/2015
12f8,Soil,12/7/2015
12f9,Soil,12/3/2015
13a1,Soil,1/11/2016
13a10,Soil,12/3/2015
13a11,Soil,NA
13a12,Soil,12/3/2015
13a2,Soil,12/3/2015
13a3,Soil,12/3/2015
13a4,Soil,12/17/2015
13a5,Soil,1/11/2016
13a6,Soil,12/29/2015
13a7,Soil,12/3/2015
13a8,Soil,12/3/2015
13a9,Soil,12/1/2015
13b1,Soil,12/29/2015
13b10,Soil,12/3/2015
13b11,Soil,NA
13b12,Soil,12/3/2015
13b2,Soil,NA
13b3,Soil,12/5/2015
13b4,Soil,12/3/2015
13b5,Soil,1/11/2016
13b6,Soil,12/26/2015
13b7,Soil,12/3/2015
13b8,Soil,12/1/2015
13b9,Soil,NA
13c1,Soil,12/3/2015
13c10,Soil,12/3/2015
13c11,Soil,12/5/2015
13c12,Soil,12/3/2015
13c2,Soil,12/3/2015
13c3,Soil,12/15/2015
13c4,Soil,12/29/2015
13c5,Soil,1/11/2016
13c6,Soil,12/26/2015
13c7,Soil,12/3/2015
13c8,Soil,11/29/2015
13c9,Soil,11/29/2015
13d1,Soil,12/3/2015
13d10,Soil,12/3/2015
13d12,Soil,11/29/2015
13d2,Soil,12/1/2015
13d3,Soil,12/3/2015
13d4,Soil,12/3/2015
13d5,Soil,12/17/2015
13d6,Soil,12/3/2015
13d7,Soil,12/3/2015
13d8,Soil,12/1/2015
13d9,Soil,11/29/2015
13e1,Soil,12/3/2015
13e10,Soil,11/29/2015
13e12,Soil,12/1/2015
13e2,Soil,12/1/2015
13e3,Soil,12/3/2015
13e4,Soil,12/3/2015
13e5,Soil,NA
13e6,Soil,12/7/2015
13e7,Soil,12/3/2015
13e8,Soil,11/29/2015
13e9,Soil,11/29/2015
13f1,Soil,12/9/2015
13f2,Soil,NA
13f3,Soil,12/1/2015
13f4,Soil,1/1/2016
13f5,Soil,1/11/2016
13f6,Soil,12/3/2015
13f7,Soil,12/3/2015
13f8,Soil,11/29/2015
13f9,Soil,11/27/2015
14a1,Soil,11/29/2015
14a10,Soil,11/29/2015
14a11,Soil,11/29/2015
14a12,Soil,12/1/2015
14a2,Soil,11/29/2015
14a3,Soil,12/1/2015
14a4,Soil,12/5/2015
14a5,Soil,12/11/2015
14a6,Soil,12/11/2015
14a7,Soil,12/5/2015
14a8,Soil,12/1/2015
14a9,Soil,11/27/2015
14b1,Soil,12/1/2015
14b10,Soil,NA
14b11,Soil,11/29/2015
14b12,Soil,11/29/2015
14b2,Soil,11/29/2015
14b3,Soil,12/3/2015
14b4,Soil,11/29/2015
14b5,Soil,12/11/2015
14b6,Soil,12/7/2015
14b7,Soil,12/5/2015
14b8,Soil,12/1/2015
14b9,Soil,NA
14c1,Soil,NA
14c10,Soil,11/29/2015
14c12,Soil,11/29/2015
14c2,Soil,11/29/2015
14c3,Soil,12/1/2015
14c4,Soil,11/29/2015
14c5,Soil,12/11/2015
14c6,Soil,12/11/2015
14c7,Soil,12/5/2015
14c8,Soil,NA
14c9,Soil,12/11/2015
14d1,Soil,NA
14d10,Soil,11/29/2015
14d12,Soil,11/27/2015
14d2,Soil,NA
14d3,Soil,12/1/2015
14d4,Soil,NA
14d5,Soil,12/11/2015
14d6,Soil,12/1/2015
14d7,Soil,11/29/2015
14d8,Soil,NA
14d9,Soil,11/29/2015
14e1,Soil,11/29/2015
14e10,Soil,11/29/2015
14e12,Soil,11/29/2015
14e2,Soil,12/1/2015
14e3,Soil,11/29/2015
14e4,Soil,12/3/2015
14e5,Soil,12/11/2015
14e6,Soil,12/1/2015
14e7,Soil,NA
14e8,Soil,11/27/2015
14e9,Soil,11/27/2015
14f1,Soil,12/1/2015
14f2,Soil,NA
14f3,Soil,11/29/2015
14f4,Soil,12/14/2015
14f5,Soil,12/9/2015
14f6,Soil,12/1/2015
14f7,Soil,12/5/2015
14f8,Soil,11/29/2015
14f9,Soil,11/27/2015
15a1,Soil,11/27/2015
15a10,Soil,11/27/2015
15a11,Soil,11/29/2015
15a12,Soil,11/27/2015
15a2,Soil,11/27/2015
15a3,Soil,11/27/2015
15a4,Soil,12/1/2015
15a5,Soil,NA
15a6,Soil,12/5/2015
15a7,Soil,12/1/2015
15a8,Soil,11/29/2015
15a9,Soil,NA
15b1,Soil,11/27/2015
15b10,Soil,11/27/2015
15b11,Soil,11/27/2015
15b12,Soil,11/27/2015
15b2,Soil,11/27/2015
15b3,Soil,NA
15b4,Soil,11/27/2015
15b5,Soil,12/5/2015
15b6,Soil,1/1/2016
15b7,Soil,11/29/2015
15b8,Soil,12/3/2015
15b9,Soil,11/27/2015
15c1,Soil,11/27/2015
15c10,Soil,11/27/2015
15c12,Soil,11/27/2015
15c2,Soil,11/27/2015
15c3,Soil,11/27/2015
15c4,Soil,11/27/2015
15c5,Soil,1/11/2016
15c6,Soil,12/5/2015
15c7,Soil,11/27/2015
15c8,Soil,11/27/2015
15c9,Soil,11/27/2015
15d1,Soil,11/27/2015
15d10,Soil,11/27/2015
15d12,Soil,11/27/2015
15d2,Soil,11/27/2015
15d3,Soil,11/27/2015
15d4,Soil,12/1/2015
15d5,Soil,1/11/2016
15d6,Soil,12/3/2015
15d7,Soil,11/27/2015
15d8,Soil,11/27/2015
15d9,Soil,11/27/2015
15e1,Soil,12/5/2015
15e10,Soil,11/29/2015
15e12,Soil,11/27/2015
15e2,Soil,11/27/2015
15e3,Soil,11/27/2015
15e4,Soil,12/7/2015
15e5,Soil,12/5/2015
15e6,Soil,11/29/2015
15e7,Soil,11/27/2015
15e8,Soil,11/29/2015
15e9,Soil,11/27/2015
15f1,Soil,11/27/2015
15f2,Soil,NA
15f3,Soil,12/6/2015
15f4,Soil,12/5/2015
15f5,Soil,12/5/2015
15f6,Soil,11/29/2015
15f7,Soil,11/27/2015
15f8,Soil,11/27/2015
15f9,Soil,11/27/2015
16a1,Soil,1/1/2016
16a10,Soil,11/27/2015
16a11,Soil,11/27/2015
16a12,Soil,11/27/2015
16a2,Soil,12/1/2015
16a3,Soil,11/27/2015
16a4,Soil,11/29/2015
16a5,Soil,12/23/2015
16a6,Soil,12/9/2015
16a7,Soil,11/29/2015
16a8,Soil,12/1/2015
16a9,Soil,11/29/2015
16b1,Soil,12/5/2015
16b10,Soil,11/27/2015
16b11,Soil,11/27/2015
16b12,Soil,11/29/2015
16b2,Soil,11/27/2015
16b3,Soil,NA
16b4,Soil,11/27/2015
16b5,Soil,NA
16b6,Soil,NA
16b7,Soil,11/29/2015
16b8,Soil,NA
16b9,Soil,12/1/2015
16c1,Soil,NA
16c10,Soil,11/27/2015
16c11,Soil,11/27/2015
16c12,Soil,11/29/2015
16c2,Soil,11/29/2015
16c3,Soil,NA
16c4,Soil,11/29/2015
16c5,Soil,12/9/2015
16c6,Soil,12/7/2015
16c7,Soil,11/29/2015
16c8,Soil,12/1/2015
16c9,Soil,12/1/2015
16d1,Soil,12/15/2015
16d10,Soil,11/27/2015
16d12,Soil,11/27/2015
16d2,Soil,11/29/2015
16d3,Soil,11/27/2015
16d4,Soil,11/27/2015
16d5,Soil,11/27/2015
16d6,Soil,11/29/2015
16d7,Soil,NA
16d8,Soil,12/1/2015
16d9,Soil,11/27/2015
16e1,Soil,NA
16e10,Soil,11/27/2015
16e12,Soil,11/27/2015
16e2,Soil,11/29/2015
16e3,Soil,11/27/2015
16e4,Soil,11/29/2015
16e5,Soil,12/7/2015
16e6,Soil,11/29/2015
16e7,Soil,12/5/2015
16e8,Soil,12/5/2015
16e9.1,Soil,11/27/2015
16e9.2,Soil,11/27/2015
16f1,Soil,1/29/2016
16f2,Soil,NA
16f3,Soil,11/27/2015
16f4,Soil,12/5/2015
16f5,Soil,12/11/2015
16f6,Soil,12/5/2015
16f7,Soil,12/5/2015
16f8,Soil,12/3/2015
16f9,Soil,11/27/2015
17a10,Soil,12/1/2015
17a11,Soil,12/3/2015
17a12,Soil,12/11/2015
17a5,Soil,NA
17a6,Soil,NA
17a7,Soil,1/11/2016
17a8,Soil,NA
17a9,Soil,12/7/2015
17b10,Soil,11/29/2015
17b11,Soil,12/3/2015
17b12,Soil,12/1/2015
17b5,Soil,NA
17b6,Soil,NA
17b7,Soil,1/11/2015
17b8,Soil,12/5/2015
17b9,Soil,12/5/2015
17c10,Soil,11/29/2015
17c11,Soil,12/1/2015
17c5,Soil,NA
17c6,Soil,NA
17c7,Soil,NA
17c8,Soil,NA
17c9,Soil,12/7/2015
17d10,Soil,11/29/2015
17d11,Soil,NA
17d5,Soil,NA
17d6,Soil,NA
17d7,Soil,NA
17d8,Soil,12/3/2015
17d9,Soil,12/5/2015
17e10,Soil,12/3/2015
17e11,Soil,NA
17e5,Soil,NA
17e6,Soil,1/11/2016
17e7,Soil,NA
17e8,Soil,12/3/2015
17e9,Soil,12/5/2015
17f10,Soil,12/5/2015
17f11,Soil,12/1/2015
17f5,Soil,NA
17f6,Soil,1/11/2016
17f7,Soil,1/11/2016
17f8,Soil,12/11/2015
17f9,Soil,11/29/2015
18a10,Soil,11/27/2015
18a11,Soil,NA
18a12,Soil,11/27/2015
18a5,Soil,NA
18a6,Soil,12/26/2015
18a7,Soil,12/9/2015
18a8,Soil,12/29/2015
18a9,Soil,NA
18b10,Soil,11/27/2015
18b11,Soil,11/29/2015
18b12,Soil,11/27/2015
18b5,Soil,12/7/2015
18b6,Soil,12/15/2015
18b7,Soil,12/13/2015
18b8,Soil,12/7/2015
18b9,Soil,12/17/2015
18c10,Soil,11/27/2015
18c11,Soil,11/29/2015
18c5,Soil,NA
18c6,Soil,NA
18c7,Soil,12/11/2015
18c8,Soil,12/13/2015
18c9,Soil,12/1/2015
18d10,Soil,12/3/2015
18d11,Soil,11/27/2015
18d5,Soil,NA
18d6,Soil,NA
18d7,Soil,12/9/2015
18d8,Soil,12/5/2015
18d9,Soil,12/5/2015
18e10,Soil,NA
18e11,Soil,11/27/2015
18e5,Soil,NA
18e6,Soil,12/11/2015
18e7,Soil,NA
18e8,Soil,12/3/2015
18e9,Soil,NA
18f10,Soil,12/1/2015
18f11,Soil,11/27/2015
18f5,Soil,NA
18f6,Soil,12/11/2015
18f7,Soil,12/11/2015
18f8,Soil,12/3/2015
18f9,Soil,11/29/2015
19a10,Soil,12/3/2015
19a11,Soil,12/3/2015
19a12,Soil,11/29/2015
19a5,Soil,11/27/2015
19a6,Soil,NA
19a7,Soil,12/11/2015
19a8,Soil,12/5/2015
19a9,Soil,12/3/2015
19b10,Soil,11/29/2015
19b11,Soil,12/3/2015
19b12,Soil,12/11/2015
19b5,Soil,NA
19b6,Soil,12/5/2015
19b7,Soil,12/11/2015
19b8,Soil,11/29/2015
19b9,Soil,12/1/2015
19c10,Soil,11/27/2015
19c11,Soil,NA
19c5,Soil,NA
19c6,Soil,NA
19c7,Soil,12/9/2015
19c8,Soil,12/1/2015
19c9,Soil,11/29/2015
19d10,Soil,11/29/2015
19d11,Soil,11/29/2015
19d5,Soil,NA
19d6,Soil,NA
19d7,Soil,12/7/2015
19d8,Soil,12/1/2015
19d9,Soil,11/29/2015
19e10,Soil,11/27/2015
19e11,Soil,11/29/2015
19e5,Soil,NA
19e6,Soil,12/11/2015
19e7,Soil,12/7/2015
19e8,Soil,12/1/2015
19e9,Soil,11/29/2015
19f10,Soil,11/29/2015
19f11,Soil,11/29/2015
19f5,Soil,NA
19f6,Soil,NA
19f7,Soil,12/5/2015
19f8,Soil,12/3/2015
19f9,Soil,11/27/2015
1a5,Soil,NA
1a6,Soil,12/1/2015
1a7,Soil,12/26/2015
1b5,Soil,NA
1b6,Soil,12/1/2015
1b7,Soil,12/26/2015
1c4,Soil,12/3/2015
1c5,Soil,12/1/2015
1c6,Soil,12/1/2015
1c7,Soil,12/1/2015
1d4,Soil,12/3/2015
1d5,Soil,NA
1d6,Soil,12/3/2015
1d7,Soil,12/3/2015
1e4,Soil,12/3/2015
1e5,Soil,12/5/2015
1e6,Soil,12/3/2015
1f4,Soil,12/13/2015
1f5,Soil,NA
1f6,Soil,12/4/2015
20a10,Soil,12/5/2015
20a11,Soil,12/1/2015
20a12,Soil,11/27/2015
20a5,Soil,NA
20a6,Soil,NA
20a7,Soil,12/23/2015
20a8,Soil,12/7/2015
20a9,Soil,12/5/2015
20b10,Soil,11/29/2015
20b11,Soil,12/1/2015
20b12,Soil,11/29/2015
20b5,Soil,NA
20b6,Soil,NA
20b7,Soil,12/15/2015
20b8,Soil,12/7/2015
20b9,Soil,12/3/2015
20c10,Soil,12/1/2015
20c11,Soil,11/29/2015
20c5,Soil,NA
20c6,Soil,NA
20c7,Soil,1/11/2016
20c8,Soil,12/29/2015
20c9,Soil,12/1/2015
20d10,Soil,12/3/2015
20d11,Soil,11/29/2015
20d5,Soil,NA
20d6,Soil,NA
20d7,Soil,12/17/2015
20d8,Soil,12/29/2015
20d9,Soil,12/5/2015
20e10,Soil,12/3/2015
20e11,Soil,11/29/2015
20e5,Soil,12/1/2015
20e6,Soil,12/17/2015
20e7,Soil,12/9/2015
20e8,Soil,11/29/2015
20e9,Soil,12/3/2015
20f10,Soil,12/5/2015
20f11,Soil,11/29/2015
20f5,Soil,NA
20f6,Soil,12/23/2015
20f7,Soil,12/23/2015
20f8,Soil,12/23/2015
20f9,Soil,11/29/2015
21a10,Soil,12/3/2015
21a2,Soil,NA
21a3,Soil,12/9/2015
21a4,Soil,12/21/2015
21a5,Soil,12/15/2015
21a6,Soil,NA
21a7,Soil,11/29/2015
21a8,Soil,NA
21a9,Soil,11/29/2015
21b10,Soil,12/3/2015
21b2,Soil,12/3/2015
21b3,Soil,NA
21b4,Soil,12/5/2015
21b5,Soil,NA
21b6,Soil,NA
21b7,Soil,NA
21b8,Soil,NA
21b9,Soil,12/5/2015
21c10,Soil,NA
21c2,Soil,12/9/2015
21c3,Soil,NA
21c4,Soil,12/5/2015
21c5,Soil,NA
21c6,Soil,NA
21c7,Soil,NA
21c8,Soil,11/29/2015
21c9,Soil,12/1/2015
21d1,Soil,NA
21d10,Soil,NA
21d2,Soil,NA
21d3,Soil,NA
21d4,Soil,12/5/2015
21d5,Soil,NA
21d6,Soil,1/29/2016
21d7,Soil,NA
21d8,Soil,11/29/2015
21d9,Soil,12/5/2015
21e1,Soil,12/3/2015
21e10,Soil,11/27/2015
21e2,Soil,12/7/2015
21e3,Soil,12/5/2015
21e4,Soil,12/5/2015
21e5,Soil,NA
21e6,Soil,11/27/2015
21e7,Soil,NA
21e8,Soil,11/29/2015
21e9,Soil,NA
21f1,Soil,12/7/2015
21f2,Soil,NA
21f3,Soil,1/11/2016
21f4,Soil,12/3/2015
21f5,Soil,NA
21f6,Soil,11/27/2015
21f7,Soil,NA
21f8,Soil,11/27/2015
21f9,Soil,12/1/2015
22a10,Soil,11/29/2015
22a2,Soil,NA
22a3,Soil,12/3/2015
22a4,Soil,12/9/2015
22a5,Soil,NA
22a6,Soil,12/17/2015
22a7,Soil,11/29/2015
22a8,Soil,NA
22a9,Soil,12/5/2015
22b10,Soil,12/3/2015
22b2,Soil,12/3/2015
22b3,Soil,NA
22b4,Soil,12/1/2015
22b5,Soil,NA
22b6,Soil,NA
22b7,Soil,12/3/2015
22b8,Soil,NA
22b9,Soil,12/1/2015
22c10,Soil,12/3/2015
22c2,Soil,12/1/2015
22c3,Soil,NA
22c4,Soil,12/1/2015
22c5,Soil,NA
22c6,Soil,12/17/2015
22c7,Soil,12/21/2016
22c8,Soil,11/29/2015
22c9,Soil,11/29/2015
22d1,Soil,NA
22d10,Soil,11/29/2015
22d2,Soil,12/3/2015
22d3,Soil,12/15/2015
22d4,Soil,12/3/2015
22d5,Soil,NA
22d6,Soil,NA
22d7,Soil,NA
22d8,Soil,11/27/2015
22d9,Soil,11/29/2015
22e1,Soil,12/7/2015
22e10,Soil,12/3/2015
22e2,Soil,12/5/2015
22e3,Soil,NA
22e4,Soil,12/1/2015
22e5,Soil,NA
22e6,Soil,NA
22e7,Soil,NA
22e8,Soil,11/27/2015
22e9,Soil,11/29/2015
22f1,Soil,12/5/2015
22f2,Soil,12/5/2015
22f3,Soil,NA
22f4,Soil,12/3/2015
22f5,Soil,NA
22f6,Soil,12/1/2015
22f7,Soil,12/9/2015
22f8,Soil,11/29/2015
22f9,Soil,11/29/2015
23a10,Soil,NA
23a2,Soil,NA
23a3,Soil,NA
23a4,Soil,NA
23a5,Soil,NA
23a6,Soil,NA
23a7,Soil,12/3/2015
23a8,Soil,1/29/2016
23a9,Soil,1/29/2016
23b10,Soil,11/29/2015
23b2,Soil,11/29/2015
23b3,Soil,NA
23b4,Soil,11/29/2015
23b5,Soil,NA
23b6,Soil,NA
23b7,Soil,12/1/2015
23b8,Soil,11/29/2015
23b9,Soil,NA
23c10,Soil,12/3/2015
23c2,Soil,11/29/2015
23c3,Soil,NA
23c4,Soil,11/29/2015
23c5,Soil,NA
23c6,Soil,NA
23c7,Soil,11/29/2015
23c8,Soil,12/5/2015
23c9,Soil,NA
23d1,Soil,NA
23d10,Soil,11/29/2015
23d2,Soil,11/29/2015
23d3,Soil,NA
23d4,Soil,11/29/2015
23d5,Soil,NA
23d6,Soil,NA
23d7,Soil,1/29/2016
23d8,Soil,11/29/2015
23d9,Soil,12/1/2015
23e1,Soil,12/3/2015
23e10,Soil,NA
23e2,Soil,12/4/2015
23e3,Soil,12/5/2015
23e4,Soil,11/29/2015
23e5,Soil,NA
23e6,Soil,NA
23e7,Soil,NA
23e8,Soil,11/29/2015
23e9,Soil,12/1/2015
23f1,Soil,NA
23f2,Soil,12/3/2015
23f3,Soil,12/1/2015
23f4,Soil,12/1/2015
23f5,Soil,NA
23f6,Soil,11/29/2015
23f7,Soil,11/27/2015
23f8,Soil,12/3/2015
23f9,Soil,12/5/2015
24a10,Soil,NA
24a2,Soil,NA
24a3,Soil,11/29/2015
24a4,Soil,11/29/2015
24a5,Soil,NA
24a6,Soil,NA
24a7,Soil,11/27/2015
24a8,Soil,12/3/2015
24a9,Soil,11/29/2015
24b10,Soil,11/29/2015
24b2,Soil,11/27/2015
24b3,Soil,NA
24b4,Soil,11/29/2015
24b5,Soil,NA
24b6,Soil,NA
24b7,Soil,11/27/2015
24b8,Soil,1/11/2016
24b9,Soil,11/27/2015
24c10,Soil,NA
24c2,Soil,11/29/2015
24c3,Soil,NA
24c4,Soil,12/1/2015
24c5,Soil,NA
24c6,Soil,NA
24c7,Soil,11/27/2015
24c8,Soil,NA
24c9,Soil,11/29/2015
24d1,Soil,NA
24d10,Soil,11/29/2015
24d2,Soil,NA
24d3,Soil,12/3/2015
24d4,Soil,11/29/2015
24d5,Soil,NA
24d6,Soil,NA
24d7,Soil,NA
24d8,Soil,NA
24d9,Soil,11/29/2015
24e1,Soil,NA
24e10,Soil,11/29/2015
24e2,Soil,11/29/2015
24e3,Soil,NA
24e4,Soil,11/29/2015
24e5,Soil,NA
24e6,Soil,NA
24e7,Soil,NA
24e8,Soil,11/27/2015
24e9,Soil,11/29/2015
24f1,Soil,NA
24f2,Soil,12/23/2015
24f3,Soil,12/5/2015
24f4,Soil,12/9/2015
24f5,Soil,NA
24f6,Soil,11/27/2015
24f7,Soil,12/26/2015
24f8,Soil,12/5/2015
24f9,Soil,12/3/2015
25a10,Soil,12/1/2015
25a11,Soil,12/26/2015
25a12,Soil,1/11/2016
25a2,Soil,NA
25a3,Soil,NA
25a4,Soil,1/11/2016
25a5,Soil,12/26/2015
25a6,Soil,NA
25a7,Soil,12/9/2015
25a8,Soil,12/7/2015
25a9,Soil,11/29/2015
25b10,Soil,12/1/2015
25b11,Soil,12/9/2015
25b12,Soil,NA
25b2,Soil,12/3/2015
25b3,Soil,NA
25b4,Soil,NA
25b5,Soil,1/11/2016
25b6,Soil,1/11/2016
25b7,Soil,1/11/2016
25b8,Soil,12/11/2015
25b9,Soil,11/29/2015
25c10,Soil,12/1/2015
25c11,Soil,11/29/2015
25c2,Soil,12/11/2015
25c3,Soil,NA
25c4,Soil,12/11/2015
25c5,Soil,NA
25c6,Soil,12/11/2015
